,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
rebound_boundary_slope,-0.11500978368400068,0.20647591693206266,0.28507477747817833,0.18946664674317057,0.03797658972893583,0.22817441881570277,0.0861327102149068,-0.13691060944685088,0.2144466163857735,0.22856223122178426,-0.013862534897467844,-0.20752809776904718,-0.10798904493735591,0.016369830374759455,-0.23686283655629758,-0.0550521485829663,0.10345608823402391,-0.0051794692984227396,-0.20098713706919968,-0.15411325338251705,0.003160141562601288,-0.06655829425982643,-0.2669370048340261,0.009990841992959873,0.34539255064502117,-0.3603867872244197,-0.33107744499326763,-0.10086785592455541,-0.07077277472678793,-0.07651996641367902,0.059778329741814774,0.02270031478227798,-0.009117217164230335,-0.009191440408975623,2.1696871097720823e-17
burst_boundary_slope,-0.05593581182313555,-0.14063809854488113,0.1947231216246191,0.13742103121842228,-0.21126205969067471,0.48511703044629145,0.015605636259131896,-0.0654965513982549,0.012445767403236932,-0.36201564835210576,0.4272897607104402,0.1103038849003497,0.29223078793723756,-0.251031677322641,-0.094640482523077,0.10716492510021666,-0.0905680178540057,0.11957799527822162,-0.027141779158371727,-0.012373120615077213,0.10482934580974407,-0.0767194540833449,0.2265231997025096,0.009214477058046547,0.15761153865462987,-0.02874226837915255,0.12729151930732624,0.08232228836026766,0.0018024372556289976,-0.008994376597366818,-0.01668453949025344,-0.008509050126426752,-0.008519455773512475,0.012541186780357282,6.560520576523503e-18
max_sag_depth_mV,-0.21777834602883875,-0.08882694556557623,0.07268713968861225,-0.19401269413852953,-0.22451128209557072,-0.013484390044244465,-0.11915881595303338,-0.05011251468773311,-0.09707552084979285,0.34840155546307516,0.049671590846064644,-0.10909548322342116,-0.0883984450873944,0.08675784157622697,-0.25292363833356335,-0.3575170244133399,-0.09668353036873202,0.27580986467605534,-0.1305626166305761,0.4414141172253288,0.14927580044021746,0.23015987352620446,0.2855637240155621,0.038766817016359735,0.11973364988571311,0.07335293650436604,0.029229493318698018,0.017043888391623466,0.05467371456617126,-0.00027845599998679686,-0.049816453088208666,0.012508952506623499,-0.00018684302919209775,0.006864059328546824,-6.979387003756124e-18
mean_rebound_latency_ms,-0.02385372614685743,-0.05714545775436827,0.36930774216090734,-0.12759993377741877,-0.3545554785217466,-0.2058912595913026,0.20426454787609868,0.13312601036908847,0.000815360699210712,0.3936617233091244,0.08559250280208154,0.0816197218470125,0.41222629106916175,-0.06631846064901845,0.40160841177762135,0.11409391164679897,0.03431687972052474,-0.03829997792100062,-0.19735631109057858,-0.08670138243882002,-0.032970040972075856,0.07888022883160786,-0.12180966550829021,-0.15248081162364163,-0.05036743137682767,0.007630825598039528,-0.0012146983048489175,0.004170530386078969,-0.02408963826156175,-0.005146097353572238,0.004869119044329256,-0.022530947727124044,0.008871290543899013,0.0039415635388095425,-2.2827996546910614e-17
max_rebound_peak_mV,0.1632805770518179,-0.19426118937246906,0.038405545003294426,-0.16134072704980096,-0.0730852627310323,-0.09604856345526178,-0.22290500685989106,0.18448762902508578,-0.33592909996098086,0.09633256161736936,-0.06120818671120523,0.3289874955496048,-0.05458109506048114,-0.12262218963503645,-0.3757256203693023,0.10086063988273766,-0.047989514046590555,0.03252896392317487,-0.0013419014366628074,-0.2304924380261575,-0.1449847981296414,-0.20688505686601286,-0.07763635958162296,-0.2078907428616734,0.3453625376174572,0.1954003463037464,-0.17060269824303687,-0.11283735826549698,0.1577062019659513,-0.10977470108255674,0.021243945179073215,-0.005905961989153789,0.0028227089668037184,-0.008601481215839733,1.5194628457826547e-17
max_adaptation_ratio,-0.11939626096011267,-0.09270363224114603,-0.10675387649155235,0.08065113323744688,0.046468292512730276,-0.18516714840620238,-0.05939134400499783,0.5170385880021596,0.48313507638976966,-0.06412206300591987,0.359709408206375,0.2735602229426577,-0.18010951624787816,-0.03186958256171082,0.04196316570877011,-0.2478947142503755,0.08907659094071267,-0.06685152622175074,-0.07578432821708575,0.08298318564329138,-0.20859083746829826,0.025342939222469517,0.045750657570026575,-0.052061195023472485,0.1120905282742936,-0.12174472843309217,0.019417490759981126,-0.09780231486806591,-0.04392670059598394,-0.005114654006634987,0.008170913624806373,0.010412970582527915,-0.0022424376901910054,0.008288544555661054,-7.28257127622693e-18
max_n_bursts,0.1852208383437885,0.12729982384839525,0.3389061522778225,-0.0038786627835472073,-0.06740008089559857,0.1848988535415937,-0.0038245807019936695,-0.03593529037951171,-0.06630202357094943,0.12169103265722578,-0.11129400542326,0.13295896729167433,-0.13362888606367415,-0.11494268697779961,-0.010655630834959582,-0.17294869683996694,0.4085124353040334,-0.27824127062373766,0.21910645514500204,0.002516848625248569,-0.333184093390538,0.004055199142327356,0.43383423895050793,0.15683418838450586,-0.1425948203871325,0.06261594710036725,-0.04357644241688491,0.03275802519243066,-0.15787315406989944,-0.12411616420293371,-0.015057049943415023,-0.00700523350151275,-0.0005459039841634716,-0.015303009515688547,-4.914953610589411e-18
mean_spikes_per_burst,0.05900856366513489,-0.20088162164213785,-0.028344709516444924,0.09853211785648607,0.15233746176330568,-0.025824387214801226,0.36202546783888795,0.3614045894806766,-0.4131193810847811,0.008791218715223332,0.2108772341092667,-0.3286485480431551,-0.0773810544511354,0.08458275628541179,-0.05046077600135413,-0.09925433015296219,0.23964467873759543,-0.03211591516123921,-0.15229475069578205,-0.007932724631186362,0.25522042283586843,-0.30509123845198016,0.1360247795952903,-0.09484923497637193,-0.13590022724027542,-0.0714442639577463,-0.05047903834693587,0.007484378443741662,-0.08484090938203669,-0.10079568825221852,0.012870090561500501,0.011077029786653732,0.0008062943786413523,-0.008975759653616924,-5.783981585367647e-18
n_zero_crossings,0.07134848712257952,0.0447882567510037,-0.004019205023570006,0.5272316312208764,-0.3399001786157969,-0.18977293252067862,-0.19949951995826073,0.0007847903840461728,0.020320530288806635,-0.10234647130305252,-0.19613381017260131,-0.028120846236210202,-0.023119026188154354,0.26983058829908696,0.03436988078290033,0.21816447866905772,0.24489729949092268,0.104829689428535,-0.33755625589758675,0.14944059401668705,-0.06642494243590148,-0.21158061877919188,0.10349522170588926,0.14116148438651627,0.1307143633337754,0.14483963400711083,0.14845973937169,-0.0108245667259858,0.060760848563852186,0.013552222287219827,0.009732913123807755,0.003522388874208131,-0.0009226952081838806,0.006128503210036837,2.7087343130028453e-18
natural_period_ms,-0.14728540454228273,0.277500038487651,0.00030334527387193826,0.0978841112568351,0.02180028248743242,0.11089899180139902,0.10606597639460673,0.059164831550790234,0.0759290234001328,0.0032515475133366146,0.1324576255843923,-0.23414364241343513,0.1129185729772903,0.31069644439053057,0.13162888960306518,-0.1345333489175678,0.04183516076679471,-0.027332239732435194,0.3251976988071604,-0.12114818169432838,-0.08198001970939126,-0.009556087904184902,0.10478632321065354,-0.3158930047186437,0.2269360660325701,0.4279700820501816,-0.07069209335568158,-0.04079437931104954,0.3931086548828848,-0.007519089219163652,-0.06481831416436798,-0.02533279415337789,0.001997644881424651,-0.008741794598078882,3.773887539241755e-17
is_bursting_baseline,0.0,-0.0,1.1479437019748901e-41,2.938735877055719e-39,-5.877471754111438e-39,-2.539067797776141e-36,-9.027796614315168e-36,-1.2037062152420224e-35,-1.925929944387236e-34,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-2.710505431213761e-20,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-5.551115123125783e-17,-2.0816681711721685e-17,-5.551115123125783e-17,-2.6020852139652106e-17,2.2169766022983595e-15,6.800116025829084e-16,0.9999999999999999
prc_biphasic,0.037614421305289615,0.08739713681714036,0.060266908597888205,0.5388298735247512,-0.23280311097762943,-0.2571367278796607,-0.20605309938896377,0.12407511846440651,-0.163719682054188,0.031108923283960605,0.02966073911894392,-0.15676584634836283,0.053670219091996055,-0.29728330854905216,-0.11937378961502008,-0.20091188067964247,-0.26431257680562376,-0.0657566659815155,0.3512182180837197,-0.07671102621929525,0.08922465705235699,0.17289142131976942,-0.056996080394617614,-0.08351389070477226,-0.19134397002952153,-0.1523450678860434,-0.08580812117749649,-0.0014429996261044705,-0.0019323796459509684,-0.027019174666654877,-0.012508404175278307,0.008060303728472329,0.00047335837491909675,-0.008108953213307981,3.492996380982294e-18
observed_lock,-0.10260363830277577,-0.2218605015225972,0.2738818074703078,0.11601049736952919,0.2703479297590422,-0.09526219172401264,-0.08986597262215788,-0.14434092303801216,-0.01912080337033109,0.09236441987057732,0.08500355011280358,0.09097374194214951,0.1712328768518294,0.3919346229310776,-0.2695381470063871,-0.03174745152611736,0.09224305104545476,0.21223764796171143,0.1640260316136842,-0.10469867659124224,-0.2528813033363711,-0.03762960520518453,-0.08536456176657882,-0.20416255483777931,-0.1962654644215489,-0.21918328553008937,0.3788435852223244,0.1157127834571655,-0.037323783544964934,0.06477634151751192,-0.027583380299258928,-0.06235344711797296,-0.015850800450821663,0.0002896849381071693,3.599378653775086e-17
observed_locked_phase,-0.10564597679546653,-0.15274281125598385,0.231626171797184,0.1230056705707417,0.43046339421671476,-0.20970798578052108,-0.17683423388900302,-0.10488439719667789,-0.07766896027048457,0.05303494655826671,0.06072414847356033,-0.11689112935690103,-0.08026552187382255,-0.11960853684851677,0.15532944258207418,0.20855764785635006,-0.1215847794374477,-0.428619990398705,-0.09374293883401333,0.11499283846229336,0.09264222273622297,0.15482403348975726,0.1808883045827689,-0.06966171888446662,0.3907635569732818,0.06803718217296299,0.11999217322465612,0.20685683530826757,-0.04977279510012951,-0.027848358648181904,-0.03940227191028546,0.010931310337770117,-0.01274565267351351,0.01938902283957328,1.0458662448576113e-18
observed_phase_spread,0.10671568347995168,0.19931236669467553,-0.26759196411210057,-0.13194356966514464,-0.2958487379369009,0.16946518986841447,0.08130559708575433,0.23045065162977238,0.054245422147311324,0.18419759039184663,-0.09660389329885764,-0.17724939502641573,-0.10873210135706111,0.03767913257097986,-0.1882737695289713,0.1798320215088735,-0.12336819178801406,-0.21700392552616488,0.015942357911318924,-0.11430642044985663,-0.087973687433278,0.026628452855779455,0.06865860491598322,-0.192402475732955,0.14548390804772054,-0.2200254981286993,0.4455139326206995,0.34065377823978077,-0.09604227730227495,0.0018284859594557793,-0.05996965330361507,-0.033139185539973186,-0.03297367186272872,0.018258845350369066,4.5184129563204436e-17
